,site_number,RAAD_type_number,RAAD_form,origin,contents,southampton_type_number,frequency,origin_h1,origin_h2,raad_type_start_date,raad_type_end_date,site_name_modern,site_name_acient,modern_country,roman_province,pleiades,dare,vici,lat,long,major_site_type,minor_site_type,site_start_date,site_end_date,quantification_method,quantification_abbreviation,total_assemblage_size,reference
0,9,1,augst 48,em,unknown,,1,em,,,,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
1,9,2,augst 49,em,unknown,,1,em,,1.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
2,9,3,augst 55 agora f6566,em,wine,10,12,em,,-50.0,400.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
3,9,4,augst 56,em,unknown,,2,em,,300.0,450.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
4,9,5,augst 57,em,unknown,,1,em,,400.0,500.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
5,9,6,augst 59,em,unknown,,1,em,,300.0,450.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
6,9,7,dressel 24,em,wine,74,100,em,,-100.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
7,9,10,kapitan 1,em,wine,133,7,em,,75.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
8,9,11,kapitan 2,em,wine,134,1,em,,200.0,400.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
9,9,12,knossos 18,em,unknown,,3,em,,150.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
10,9,13,late roman amphora 1,em,unknown,160,1,em,,250.0,650.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
11,9,15,pompeii 38,em cnidos,wine,192,3,em,cnidos,-150.0,10.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
12,9,19,dressel 43,em crete,wine,93,5,em,crete,1.0,250.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
13,9,24,augst 46,em levant,unknown,35,1,em,levant,50.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
14,9,25,augst 47,em levant,unknown,36,7,em,levant,150.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
15,9,26,camulodunum 189,em levant,fruit,51,24,em,levant,-10.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
16,9,27,kingsholm 117,em levant,fruit,51,6,em,levant,-10.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
17,9,29,unknown,em levant,unknown,,7,em,levant,1.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
18,9,30,late roman amphora 4,em palestine,wine,21,4,em,palestine,300.0,650.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
19,9,31,camulodunum 184rhodian,em rhodes,wine,198,106,em,rhodes,-25.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
20,9,34,unknown,em unknown,unknown,,61,em,unknown,,,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
21,9,35,chalk 6 augst 53,em,unknown,54,5,em,,200.0,400.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
22,9,37,augst 3334,gaul,fish sauce,32 or 34,53,gaul,,50.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
23,9,38,dressel 1 sim,gaul,wine,,1,gaul,,-30.0,14.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
24,9,39,dressel 10 sim,gaul,fish sauce,100,87,gaul,,1.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
25,9,42,dressel 25,gaul,wine,,91,gaul,,-30.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
26,9,45,gauloise 1,gaul,wine,105,6,gaul,,1.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
27,9,48,gauloise 23,gaul,wine,114 or 115,84,gaul,,-40.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
28,9,50,gauloise 34,gaul,wine,115 or 116,49,gaul,,1.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
29,9,52,gauloise 4 pelichet 47,gaul,wine,116,946,gaul,,50.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
30,9,53,gauloise 5,gaul,wine,119,29,gaul,,50.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
31,9,56,ha 70 sim,gaul,defrutumolives,128,37,gaul,,20.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
32,9,57,london 555augst 21haltern 70 sim,gaul,defrutumolives,128,24,gaul,,20.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
33,9,67,augst 35,gaul frejus,fish sauce,,3,gaul,frejus,50.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
34,9,68,lyon 5 dressel 16,gaul frejus,fish sauce,66,10,gaul,frejus,1.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
35,9,72,dressel 9 sim,gaul lyon,fish sauce,100,479,gaul,lyon,1.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
36,9,81,lyon 4augst 17,gaul lyon,fish sauce or defrutum,31,91,gaul,lyon,1.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
37,9,95,unknown,gaul unknown,unknown,,63,gaul,unknown,,,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
