Unnamed: 0,Site,Publication,Period,Lower_ context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude
0,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 6A,Adriatic Italy,3.0,via Gramsci kon IBC - IAD,-25,50,https://pleiades.stoa.org/places/383574,44.675532,8.470658
1,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 6B,Adriatic Italy,7.0,via Gramsci kon IBC - IAD,1,150,https://pleiades.stoa.org/places/383574,44.675532,8.470658
2,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 7-13,Baetica,26.0,via Gramsci kon IBC - IAD,-30,150,https://pleiades.stoa.org/places/383574,44.675532,8.470658
3,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Haltern 70,Baetica,1.0,via Gramsci kon IBC - IAD,-80,192,https://pleiades.stoa.org/places/383574,44.675532,8.470658
4,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 2-4_5,Tyrrhenian Italy,4.0,via Gramsci kon IBC - IAD,-70,225,https://pleiades.stoa.org/places/383574,44.675532,8.470658
5,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 20,Baetica,1.0,via Gramsci kon IBC - IAD,1,300,https://pleiades.stoa.org/places/383574,44.675532,8.470658
6,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 7-11,Gaul,5.0,via Gramsci kon IBC - IAD,-30,96,https://pleiades.stoa.org/places/383574,44.675532,8.470658
7,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6A,Adriatic Italy,30.0,"I-II AD,",-25,50,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
8,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6B,Adriatic Italy,127.0,"I-II AD,",1,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
9,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6A/6B_1,Adriatic Italy,119.0,"I-II AD,",1,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
10,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 7-13,Baetica,35.0,"I-II AD,",-30,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
11,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,10.0,"I-II AD,",-70,225,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
12,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4,Aegean,23.0,"I-II AD,",-100,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
13,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_2,Spain,30.0,"I-II AD,",-25,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
14,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_7,unknown,102.0,"I-II AD,",1,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
