,Unnamed: 0,Site,Publication,Period,Lower_ context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude,site,Grouped_sites,Site_type,Site_notes,Amphora_type_main,amphora_type,problems,content,Amphora_type_notes
0,0,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 6A,Adriatic Italy,3.0,via Gramsci kon IBC - IAD,-25,50,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Dr 6A,Dr 6A,,wine,
1,1,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 6B,Adriatic Italy,7.0,via Gramsci kon IBC - IAD,1,150,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Dr 6B,Dr 6B,,olive oil,
2,2,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 7-13,Baetica,26.0,via Gramsci kon IBC - IAD,-30,150,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Dr 7-13,Dr 7-13,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
3,3,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Haltern 70,Baetica,1.0,via Gramsci kon IBC - IAD,-80,192,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Haltern 70,Haltern 70,,defrutum,
4,4,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 2-4_5,Tyrrhenian Italy,4.0,via Gramsci kon IBC - IAD,-70,225,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Dr 2-4,Dr 2-4,,wine,
5,5,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 20,Baetica,1.0,via Gramsci kon IBC - IAD,1,300,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Dr 20,Dr 20,,olive oil,
6,6,Acqui Terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25,100,Dr 7-11,Gaul,5.0,via Gramsci kon IBC - IAD,-30,96,https://pleiades.stoa.org/places/383574,44.675532,8.470658,Acqui Terme,Acqui Terme,urban,,Dr 7-11,Dr 7-11,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
7,7,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6A,Adriatic Italy,30.0,"I-II AD,",-25,50,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 6A,Dr 6A,,wine,
8,8,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6B,Adriatic Italy,127.0,"I-II AD,",1,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 6B,Dr 6B,,olive oil,
9,9,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6A/6B_1,Adriatic Italy,119.0,"I-II AD,",1,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 6A/6B,Dr 6A/6B,,unknown,
